industry_name,total,dem,repub,year
Agribusiness,25763918,7829891,17934027,2014
Crop Production & Basic Processing,8051858,3359473,4692385,2014
Tobacco,1852866,297595,1555271,2014
Dairy,1635808,545999,1089809,2014
Poultry & Eggs,734200,208100,526100,2014
Livestock,1646336,270186,1376150,2014
Agricultural Services/Products,5557113,1341797,4215316,2014
Food Processing & Sales,3834438,1027842,2806596,2014
Forestry & Forest Products,2347299,743699,1603600,2014
Sugar cane & sugar beets,4482716,2340149,2142567,2014
"Vegetables, fruits and tree nut",809690,251750,557940,2014
Farm bureaus,620335,92749,527586,2014
Communications/Electronics,27142631,12525722,14616909,2014
Printing & Publishing,367950,119500,248450,2014
TV/Movies/Music,3507893,1749056,1758837,2014
Telephone Utilities,6363150,2695400,3667750,2014
Telecom Services,8572221,4165550,4406671,2014
Electronics Mfg & Equip,6197271,2779270,3418001,2014
Internet,2134146,1016946,1117200,2014
Architectural services,173100,84100,89000,2014
Construction,15324270,4309561,11014709,2014
General Contractors,3978114,821830,3156284,2014
Home Builders,1939320,460555,1478765,2014
Special Trade Contractors,1704410,599160,1105250,2014
Construction Services,3968483,1605449,2363034,2014
Building Materials & Equipment,3733943,822567,2911376,2014
"Book, newspaper & periodical publishing",170950,74000,96950,2014
Commercial TV & radio stations,1780838,844201,936637,2014
Cable & satellite TV production,320200,155000,165200,2014
Motion Picture production & distribution,296355,177355,119000,2014
Recorded Music & music production,249750,121250,128500,2014
Computer software,2023145,860975,1162170,2014
Defense,18129979,7159973,10970006,2014
Defense Aerospace,10412699,4241749,6170950,2014
Defense Electronics,4203430,1580480,2622950,2014
Misc Defense,3513850,1337744,2176106,2014
Energy & Natural Resources,36002668,8963111,27039557,2014
Oil & Gas,16157979,2269122,13888857,2014
Mining,2969592,327000,2642592,2014
Electric Utilities,14515155,5260577,9254578,2014
Waste Management,87477,38500,48977,2014
Natural Gas transmission & distribution,2732410,622986,2109424,2014
Coal mining,1739192,102500,1636692,2014
Alternate energy production & services,1135635,660114,475521,2014
"Finance, Insurance & Real Estate",78706517,30414909,48291608,2014
Commercial Banks,12779331,3932504,8846827,2014
Savings & Loans,52369,25000,27369,2014
Credit Unions,3017300,1472450,1544850,2014
Finance/Credit Companies,3553520,1112970,2440550,2014
Securities & Investment,12891348,5649728,7241620,2014
Insurance,25647744,9969967,15677777,2014
Real Estate,11089404,4687991,6401413,2014
Accountants,7751789,2921337,4830452,2014
Misc Finance,1923712,642962,1280750,2014
Student loan companies,188750,80850,107900,2014
Payday lenders,908900,227250,681650,2014
Venture capital,399600,186600,213000,2014
Private Equity & Investment Firms,275122,117100,158022,2014
Hedge Funds,189500,86000,103500,2014
Mortgage bankers and brokers,1324070,548250,775820,2014
Food and kindred products manufacturing,1621425,410485,1210940,2014
Meat processing & products,669374,147399,521975,2014
Food stores,1151143,360958,790185,2014
Marijuana,26000,25500,500,2014
Restaurants & drinking establishments,4001631,861000,3140631,2014
Advertising & public relations services,43500,17500,26000,2014
Funeral services,128600,36000,92600,2014
"Professional sports, arenas & related equip & svcs",781985,374150,407835,2014
Indian Gaming,63536,30836,32700,2014
