industry_name,total,dem,repub,year
Agribusiness,16954910,5302993,11651917,2004
Crop Production & Basic Processing,4445488,2117766,2327722,2004
Tobacco,2062084,416750,1645334,2004
Dairy,1740690,684832,1055858,2004
Poultry & Eggs,704173,251481,452692,2004
Livestock,667182,136351,530831,2004
Agricultural Services/Products,3226606,939897,2286709,2004
Food Processing & Sales,2438705,413716,2024989,2004
Forestry & Forest Products,1660532,339000,1321532,2004
Sugar cane & sugar beets,2377635,1397004,980631,2004
"Vegetables, fruits and tree nut",617894,191794,426100,2004
Farm bureaus,376583,73997,302586,2004
Communications/Electronics,18095413,6976885,11118528,2004
Printing & Publishing,779799,202291,577508,2004
TV/Movies/Music,2623245,1086810,1536435,2004
Telephone Utilities,5365288,2098907,3266381,2004
Telecom Services,4475894,1783696,2692198,2004
Electronics Mfg & Equip,4494233,1660427,2833806,2004
Internet,356954,144754,212200,2004
Architectural services,126310,49700,76610,2004
Construction,12182921,2998507,9184414,2004
General Contractors,3761416,514064,3247352,2004
Home Builders,2618150,859000,1759150,2004
Special Trade Contractors,1311727,308927,1002800,2004
Construction Services,2160330,793275,1367055,2004
Building Materials & Equipment,2331298,523241,1808057,2004
"Book, newspaper & periodical publishing",494785,152280,342505,2004
Commercial TV & radio stations,931735,326914,604821,2004
Cable & satellite TV production,1000,1000,0,2004
TV production,3000,0,3000,2004
Motion Picture production & distribution,464363,206590,257773,2004
Recorded Music & music production,250673,139061,111612,2004
Computer software,1695770,699200,996570,2004
Defense,8983327,3212727,5770600,2004
Defense Aerospace,4436753,1703691,2733062,2004
Defense Electronics,2348162,822249,1525913,2004
Misc Defense,2198412,686787,1511625,2004
Energy & Natural Resources,19359677,5225616,14134061,2004
Oil & Gas,6711974,1184577,5527397,2004
Mining,1651458,303700,1347758,2004
Electric Utilities,9998417,3393375,6605042,2004
Waste Management,211716,59150,152566,2004
Natural Gas transmission & distribution,1005454,264722,740732,2004
Coal mining,576400,95950,480450,2004
Alternate energy production & services,52100,25100,27000,2004
"Finance, Insurance & Real Estate",49472336,17593702,31878634,2004
Commercial Banks,8939126,2985900,5953226,2004
Savings & Loans,846364,368465,477899,2004
Credit Unions,2485062,1063796,1421266,2004
Finance/Credit Companies,3129450,1130979,1998471,2004
Securities & Investment,7065777,2791822,4273955,2004
Insurance,13805926,4383939,9421987,2004
Real Estate,7441879,3198666,4243213,2004
Accountants,4613848,1282841,3331007,2004
Misc Finance,1144904,387294,757610,2004
Student loan companies,831499,310499,521000,2004
Payday lenders,160253,58254,101999,2004
Venture capital,739250,245250,494000,2004
Hedge Funds,63300,20000,43300,2004
Mortgage bankers and brokers,1558442,672949,885493,2004
Food and kindred products manufacturing,1102477,159057,943420,2004
Meat processing & products,378097,65250,312847,2004
Food stores,764792,150070,614722,2004
Restaurants & drinking establishments,2681186,214002,2467184,2004
Advertising & public relations services,217389,89550,127839,2004
Funeral services,280200,132250,147950,2004
